pais,regiao,casos_cumulativos_totais,casos_cumulativos_por_100mil_hab,casos_nos_ultimos_7dias,casos_nos_ultimos_7dias_por_100mil_hab,casos_nas_ultimas_24hrs,mortes_cumulativas_totais,mortes_cumulativas_totais_por_100mil_hab,mortes_nos_ultimos_7dias,mortes_nos_ultimos_7dias_por_100mil_hab,mortes_nas_ultimas_24hrs
Polinésia Francesa,Pacífico Ocidental,27735.059,138,49.126,0,649,231.036,0,0.0,0,
Essuatíni,Africa,6377.719,30,2.586,0,1422,122.569,0,0.0,0,
Guiana,Americas,9149.173,206,26.19,0,1286,163.498,1,0.127,0,
Belize,Americas,17522.659,299,75.196,0,688,173.026,0,0.0,0,
Fiji,Pacífico Ocidental,7663.828,77,8.589,77,881,98.277,3,0.335,3,
Madagascar,Africa,244.426,63,0.228,0,1415,5.11,1,0.004,0,
Jersey,Europa,60419.682,694,643.809,0,146,135.441,2,1.855,2,
Sudão,Mediterrâneo oriental,145.238,21,0.048,0,4994,11.389,2,0.005,0,
Mauritânia,Africa,1364.036,0,0.0,0,997,21.442,0,0.0,0,
Cabo Verde,Africa,11362.316,14,2.518,0,412,74.102,0,0.0,0,
Butão,Sudeste da Ásia,8103.078,3,0.389,0,21,2.722,0,0.0,0,
República Árabe da Síria,Mediterrâneo oriental,328.119,0,0.0,0,3163,18.074,0,0.0,0,
Burundi,Africa,434.976,241,2.027,0,15,0.126,0,0.0,0,
Seicheles,Africa,51201.358,0,0.0,0,172,174.891,0,0.0,0,
Guam,Pacífico Ocidental,29536.957,66,39.105,0,411,243.519,0,0.0,0,
Gabão,Africa,2200.308,0,0.0,0,306,13.748,0,0.0,0,
Andorra,Europa,61717.466,80,103.54,0,165,213.551,7,9.06,0,
Papua New Guiné,Pacífico Ocidental,521.548,32,0.358,0,669,7.477,0,0.0,0,
Curaçao,Americas,27854.327,38,23.158,0,299,182.214,1,0.609,0,
Aruba,Americas,40979.338,59,55.261,0,280,262.256,0,0.0,0,
República Unida da Tanzânia,Africa,70.497,0,0.0,0,845,1.415,0,0.0,0,
Maiote,Africa,15383.685,48,17.594,0,187,68.545,0,0.0,0,
Togo,Africa,475.182,0,0.0,0,290,3.503,0,0.0,0,
Guiné,Africa,290.806,0,0.0,0,465,3.541,0,0.0,0,
Ilha de Man,Europa,44698.466,0,0.0,0,116,136.419,0,0.0,0,
Bahamas,Americas,9533.775,0,0.0,0,833,211.828,0,0.0,0,
Ilhas Faroé,Europa,70926.021,0,0.0,0,28,57.301,0,0.0,0,
Lesoto,Africa,1609.99,0,0.0,0,706,32.956,0,0.0,0,
Guernesey,Europa,52599.739,461,715.083,0,66,102.376,0,0.0,0,
Haiti,Americas,297.241,0,0.0,0,860,7.542,0,0.0,0,
Mali,Africa,161.806,3,0.015,0,743,3.669,0,0.0,0,
Ilhas Cayman,Americas,47888.01,0,0.0,0,37,56.299,0,0.0,0,
Santa Lúcia,Americas,16196.42,0,0.0,0,409,222.734,0,0.0,0,
Benin,Africa,230.814,0,0.0,0,163,1.345,0,0.0,0,
Somália,Mediterrâneo oriental,171.771,14,0.088,0,1361,8.563,0,0.0,0,
Congo,Africa,448.978,0,0.0,0,386,6.995,0,0.0,0,
Ilhas Salomão,Pacífico Ocidental,3577.751,0,0.0,0,153,22.275,0,0.0,0,
Ilhas Virgens dos Estados Unidos,Americas,22715.825,52,49.797,9,127,121.618,1,0.958,0,
Timor-Leste,Sudeste da Ásia,1773.756,5,0.379,0,138,10.467,0,0.0,0,
San Marino,Europa,67219.636,43,126.702,0,120,353.586,0,0.0,0,
Micronesia (Federated States of),Pacífico Ocidental,19186.597,21,18.257,21,58,50.425,0,0.0,0,
Burkina Faso,Africa,105.275,0,0.0,0,395,1.89,0,0.0,0,
Liechtenstein,Europa,54786.177,59,152.27,0,87,224.534,0,0.0,0,
Gibraltar,Europa,60111.009,0,0.0,0,110,326.497,0,0.0,0,
Granada,Americas,17457.764,0,0.0,0,238,211.512,0,0.0,0,
Bermuda,Americas,29799.432,38,61.022,0,152,244.087,0,0.0,0,
Sudão do Sul,Africa,164.092,0,0.0,0,138,1.233,0,0.0,0,
Tajiquistão,Europa,186.482,0,0.0,0,125,1.311,0,0.0,0,
Guiné Equatorial,Africa,1218.046,0,0.0,0,183,13.044,0,0.0,0,
Tonga,Pacífico Ocidental,15337.528,29,27.437,0,12,11.353,0,0.0,0,
Samoa,Pacífico Ocidental,8054.875,7,3.528,0,29,14.616,0,0.0,0,
Mônaco,Europa,40508.103,81,206.401,14,65,165.63,0,0.0,0,
Domínica,Americas,21891.625,0,0.0,0,74,102.791,0,0.0,0,
Djibuti,Mediterrâneo oriental,1588.057,0,0.0,0,189,19.13,0,0.0,0,
Ilhas Marshall,Pacífico Ocidental,26264.486,0,0.0,0,17,28.719,0,0.0,0,
Nicarágua,Americas,231.94,57,0.86,57,245,3.698,0,0.0,0,
República Centro-Africana,Africa,316.993,0,0.0,0,113,2.34,0,0.0,0,
Northern Mariana Islands (Commonwealth of the),Pacífico Ocidental,22996.334,65,112.932,0,41,71.234,0,0.0,0,
Gâmbia,Africa,520.8,0,0.0,0,372,15.393,0,0.0,0,
São Martinho,Americas,31309.656,0,0.0,0,46,118.989,0,0.0,0,
Vanuatu,Pacífico Ocidental,3911.182,2,0.651,0,14,4.558,0,0.0,0,
Groenlândia,Europa,21086.099,0,0.0,0,21,36.99,0,0.0,0,
Iémen,Mediterrâneo oriental,40.049,0,0.0,0,2159,7.239,0,0.0,0,
Sint Maarten,Americas,25623.805,24,55.968,0,89,207.546,0,0.0,0,
Eritreia,Africa,287.304,0,0.0,0,103,2.904,0,0.0,0,
Bonaire,Americas,46698.542,53,253.407,0,32,153.0,1,4.781,0,
São Vicente e Granadinas,Americas,8582.116,21,18.929,0,118,106.364,2,1.803,0,
Níger,Africa,39.134,0,0.0,0,314,1.297,0,0.0,0,
Antígua e Barbuda,Americas,9298.573,0,0.0,0,146,149.088,0,0.0,0,
Comores,Africa,1032.543,0,0.0,0,160,18.399,0,0.0,0,
Guiné-Bissau,Africa,449.593,0,0.0,0,176,8.943,0,0.0,0,
Samoa Americana,Pacífico Ocidental,14975.452,0,0.0,0,34,61.598,0,0.0,0,
Libéria,Africa,159.025,0,0.0,0,294,5.813,0,0.0,0,
Serra Leoa,Africa,97.28,0,0.0,0,125,1.567,0,0.0,0,
Chade,Africa,46.567,1,0.006,0,194,1.181,0,0.0,0,
Ilhas Virgens Britânicas,Americas,24159.143,0,0.0,0,64,211.661,0,0.0,0,
Ilhas Cook,Pacífico Ocidental,37616.716,218,1241.175,0,1,5.693,0,0.0,0,
São Cristóvão e Nevis,Americas,12332.682,0,0.0,0,46,86.479,0,0.0,0,
Ilhas Turcas e Caicos,Americas,16733.819,16,41.324,0,36,92.98,0,0.0,0,
São Tomé e Príncipe,Africa,2865.043,0,0.0,0,77,35.134,0,0.0,0,
Palau,Pacífico Ocidental,32915.101,0,0.0,0,9,49.746,0,0.0,0,
São Bartolomeu,Americas,54446.131,0,0.0,0,5,50.582,0,0.0,0,
